               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083025,            0.014177,           0.0070571,              0.7254,             0.20034,              0.2135,            0.071535,             0.10156,            0.014309,           0.0084469,            0.070217,           0.0033092,           0.0033092
                   1,            0.090692,            0.013447,           0.0073175,             0.69014,             0.16877,             0.17753,            0.046577,             0.11053,            0.013465,           0.0086901,             0.03956,           0.0059849,           0.0059849
                   2,            0.093517,            0.013328,           0.0069899,             0.58654,             0.17373,             0.16003,             0.04501,             0.10854,            0.014526,           0.0093461,           0.0082422,           0.0080006,           0.0080006
                   3,            0.092957,            0.013344,             0.00713,             0.68175,             0.19703,             0.20095,            0.063467,             0.10247,            0.014604,           0.0095872,             0.00703,             0.00703,             0.00703
                   4,            0.091299,            0.013425,             0.00679,             0.62703,             0.13549,             0.14601,            0.038803,             0.11315,            0.013705,           0.0099632,             0.00703,             0.00703,             0.00703
                   5,            0.089645,            0.013495,           0.0069894,             0.60757,             0.13852,              0.1266,            0.034004,             0.11143,            0.013513,             0.01043,             0.00604,             0.00604,             0.00604
                   6,            0.086906,            0.013746,           0.0070831,             0.73733,             0.17123,             0.19158,            0.058473,             0.10281,            0.014364,           0.0094353,             0.00505,             0.00505,             0.00505
                   7,            0.085893,            0.013747,           0.0068415,             0.70534,             0.20367,             0.21402,            0.068281,            0.098934,            0.014905,           0.0091759,             0.00406,             0.00406,             0.00406
