               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.064008,            0.010462,            0.016754,             0.55729,             0.50492,             0.50006,             0.22114,            0.069638,            0.015321,             0.02062,             0.07012,             0.00332,             0.00332
                   1,            0.066591,            0.010622,            0.016421,             0.62241,             0.51768,             0.54231,             0.25828,             0.06703,            0.015161,            0.021428,            0.039461,           0.0059947,           0.0059947
                   2,            0.070183,            0.010681,            0.016711,             0.64768,             0.49502,             0.54078,             0.24023,            0.066393,             0.01558,            0.020263,           0.0081426,           0.0080093,           0.0080093
                   3,            0.070772,            0.010937,            0.016877,             0.63106,             0.50316,             0.50981,             0.23515,            0.067685,            0.015376,             0.02253,             0.00703,             0.00703,             0.00703
                   4,            0.069661,            0.010777,            0.017039,             0.66632,             0.44893,             0.50377,             0.21174,            0.069016,            0.015408,             0.02127,             0.00703,             0.00703,             0.00703
                   5,            0.068085,            0.010717,            0.016497,             0.62817,             0.50932,             0.53069,             0.24155,            0.067101,             0.01521,            0.020515,             0.00604,             0.00604,             0.00604
                   6,            0.066156,            0.010833,            0.015576,             0.67243,             0.51231,             0.55553,             0.26475,             0.06531,            0.015362,            0.020924,             0.00505,             0.00505,             0.00505
                   7,            0.063754,            0.010445,            0.014631,             0.64236,             0.53562,              0.5523,             0.25122,            0.067063,            0.015411,            0.019825,             0.00406,             0.00406,             0.00406
                   8,            0.063136,            0.010557,            0.014058,               0.722,             0.54307,             0.56867,             0.26041,            0.065766,             0.01525,            0.019373,             0.00307,             0.00307,             0.00307
                   9,            0.061365,            0.010316,            0.013993,             0.72803,             0.56037,             0.58587,             0.27938,            0.064102,            0.014899,            0.018624,             0.00208,             0.00208,             0.00208
