               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07404,            0.013128,           0.0046065,             0.44743,             0.35386,             0.31756,             0.11967,            0.099315,            0.015713,           0.0091672,            0.070217,           0.0033092,           0.0033092
                   1,            0.078449,            0.012506,           0.0045568,             0.49861,             0.39887,             0.39134,             0.13153,            0.098405,            0.014895,           0.0092415,             0.03956,           0.0059849,           0.0059849
                   2,            0.079436,            0.012576,           0.0045661,             0.44695,             0.29768,             0.30002,             0.10075,            0.099543,            0.015577,           0.0098567,           0.0082422,           0.0080006,           0.0080006
                   3,            0.079083,            0.012462,            0.004611,             0.33925,               0.384,             0.26772,            0.083947,             0.10199,            0.015154,           0.0097957,             0.00703,             0.00703,             0.00703
                   4,            0.077839,            0.012713,           0.0045674,               0.452,             0.30918,             0.26841,            0.084521,             0.10719,            0.014276,            0.009766,             0.00703,             0.00703,             0.00703
                   5,            0.078048,            0.012593,           0.0048634,             0.57055,             0.36884,             0.34479,             0.12568,            0.096406,            0.015009,            0.010039,             0.00604,             0.00604,             0.00604
                   6,            0.074975,            0.012626,           0.0046313,             0.52673,             0.30962,             0.30438,            0.099899,             0.10201,            0.015362,           0.0093791,             0.00505,             0.00505,             0.00505
                   7,            0.074538,            0.012807,           0.0045095,             0.55429,             0.33305,             0.35326,             0.12593,             0.09598,            0.015377,            0.010135,             0.00406,             0.00406,             0.00406
                   8,            0.071319,            0.012951,            0.004337,             0.57862,             0.30348,             0.29853,             0.10862,            0.098634,            0.015566,            0.010323,             0.00307,             0.00307,             0.00307
                   9,            0.071651,            0.013082,           0.0042776,             0.53044,             0.36159,             0.34998,             0.12181,            0.095971,            0.015622,           0.0093877,             0.00208,             0.00208,             0.00208
