               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.056921,           0.0092844,            0.009918,             0.75133,             0.56867,             0.60339,             0.27033,            0.065293,            0.015007,            0.021483,             0.07012,             0.00332,             0.00332
                   1,            0.057475,           0.0092629,           0.0087898,             0.79667,             0.55315,             0.60073,              0.2769,            0.065776,             0.01469,             0.02162,            0.039461,           0.0059947,           0.0059947
                   2,            0.059825,           0.0092699,           0.0086502,             0.78447,             0.54279,             0.59945,             0.26211,            0.065604,            0.014919,              0.0204,           0.0081426,           0.0080093,           0.0080093
                   3,            0.059939,           0.0095714,           0.0096397,              0.7247,             0.55049,             0.56948,             0.27336,            0.064849,            0.014857,            0.023017,             0.00703,             0.00703,             0.00703
                   4,            0.059895,           0.0095991,            0.010096,             0.70896,             0.50903,             0.54489,             0.23368,            0.068006,             0.01521,            0.023986,             0.00703,             0.00703,             0.00703
                   5,            0.058893,           0.0095328,           0.0098074,             0.68003,             0.53721,             0.55377,             0.24928,            0.065914,            0.015476,              0.0235,             0.00604,             0.00604,             0.00604
