               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07934,            0.013866,           0.0063931,             0.68599,             0.20275,              0.2063,            0.065172,             0.10144,            0.014352,            0.008574,            0.070217,           0.0033092,           0.0033092
                   1,            0.085726,            0.013352,           0.0064342,             0.73063,             0.19205,             0.21109,            0.068156,             0.10171,            0.014976,           0.0087102,             0.03956,           0.0059849,           0.0059849
                   2,            0.088104,             0.01315,           0.0062279,             0.57812,             0.14128,             0.13565,            0.035962,             0.11084,            0.013751,            0.010129,           0.0082422,           0.0080006,           0.0080006
                   3,            0.087598,             0.01319,           0.0064444,             0.70737,              0.1961,             0.20136,            0.058856,             0.10135,            0.014288,           0.0093241,             0.00703,             0.00703,             0.00703
                   4,            0.086613,             0.01339,           0.0061253,             0.68938,             0.18273,             0.19276,            0.051976,             0.10564,            0.014445,           0.0092109,             0.00703,             0.00703,             0.00703
                   5,            0.086332,            0.013242,           0.0063787,              0.6787,              0.2044,             0.21712,            0.064473,             0.10189,            0.014629,           0.0091291,             0.00604,             0.00604,             0.00604
                   6,            0.082747,            0.013394,           0.0063551,             0.71176,             0.16701,             0.18172,            0.049506,             0.10427,            0.014246,           0.0092156,             0.00505,             0.00505,             0.00505
                   7,             0.08191,            0.013548,           0.0061907,             0.68229,             0.18379,             0.21176,            0.059929,             0.10319,            0.014473,           0.0094286,             0.00406,             0.00406,             0.00406
                   8,            0.077925,            0.013757,           0.0061449,             0.69825,             0.19039,             0.23874,            0.063055,             0.10063,            0.015045,           0.0092741,             0.00307,             0.00307,             0.00307
                   9,            0.077019,            0.013796,           0.0055599,             0.71239,             0.22411,             0.28161,             0.09523,            0.097093,            0.015396,           0.0092306,             0.00208,             0.00208,             0.00208
