               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059851,           0.0098589,            0.012126,             0.73342,             0.56425,             0.59927,             0.26722,            0.066432,             0.01493,             0.01907,             0.07012,             0.00332,             0.00332
                   1,            0.061723,            0.009906,            0.011377,             0.68443,             0.53754,              0.5808,             0.27828,             0.06551,            0.014708,            0.019847,            0.039461,           0.0059947,           0.0059947
                   2,            0.064114,            0.009993,            0.011592,             0.70399,              0.5254,              0.5675,             0.25512,              0.0651,            0.015325,            0.020871,           0.0081426,           0.0080093,           0.0080093
                   3,            0.064624,            0.010378,            0.012387,             0.70713,             0.53715,             0.56569,             0.25602,            0.066914,            0.015462,             0.02049,             0.00703,             0.00703,             0.00703
                   4,            0.064318,            0.010184,            0.012625,             0.63815,             0.53478,             0.54774,             0.23257,            0.068224,            0.015052,            0.020738,             0.00703,             0.00703,             0.00703
                   5,            0.063461,            0.010151,            0.012602,             0.71752,             0.48789,             0.54599,             0.24962,            0.066258,             0.01504,            0.021214,             0.00604,             0.00604,             0.00604
                   6,            0.061651,            0.010282,            0.011851,             0.73191,             0.51198,             0.56271,             0.25856,            0.065945,            0.015277,            0.021942,             0.00505,             0.00505,             0.00505
                   7,            0.059562,           0.0099525,            0.011396,             0.76649,             0.54258,             0.59054,             0.26916,            0.065549,            0.015178,            0.020188,             0.00406,             0.00406,             0.00406
                   8,            0.059359,           0.0099905,             0.01117,             0.75339,             0.56246,             0.60814,             0.29858,            0.063741,            0.015158,            0.019825,             0.00307,             0.00307,             0.00307
                   9,            0.057854,           0.0097705,             0.01092,             0.74435,             0.52875,             0.58771,             0.28241,            0.062827,            0.015016,            0.019609,             0.00208,             0.00208,             0.00208
