               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057654,           0.0094389,             0.01048,             0.74814,             0.58034,             0.61114,             0.28133,            0.064318,            0.014931,            0.020863,             0.07012,             0.00332,             0.00332
                   1,            0.058832,           0.0094104,           0.0094132,             0.75466,             0.56568,             0.59878,              0.2719,            0.066051,            0.014841,            0.019902,            0.039461,           0.0059947,           0.0059947
                   2,             0.06046,            0.009477,           0.0093654,             0.74507,             0.50198,             0.55283,             0.22614,            0.069228,             0.01507,            0.022144,           0.0081426,           0.0080093,           0.0080093
                   3,            0.061463,            0.009725,            0.010113,             0.73447,             0.50658,             0.55114,             0.23631,            0.068323,            0.015426,            0.021347,             0.00703,             0.00703,             0.00703
                   4,            0.061358,           0.0097259,            0.010678,             0.73291,             0.50945,             0.54879,             0.24758,             0.06652,            0.015115,            0.021936,             0.00703,             0.00703,             0.00703
                   5,            0.060376,            0.009712,            0.010598,             0.74519,             0.49281,             0.54542,             0.24683,            0.067169,            0.015339,            0.024558,             0.00604,             0.00604,             0.00604
                   6,             0.05886,           0.0098316,            0.010258,             0.68372,             0.57604,             0.59503,             0.27637,            0.063714,             0.01522,            0.021251,             0.00505,             0.00505,             0.00505
                   7,            0.056932,           0.0094632,           0.0096622,             0.72988,               0.581,             0.59977,             0.27547,            0.064216,            0.014997,            0.020916,             0.00406,             0.00406,             0.00406
                   8,            0.056759,           0.0095379,           0.0096437,              0.7789,             0.56497,             0.61338,             0.29047,            0.063415,            0.014764,             0.02222,             0.00307,             0.00307,             0.00307
                   9,             0.05562,            0.009414,           0.0092884,             0.75337,             0.59114,             0.62294,             0.29501,            0.061383,            0.014942,            0.021264,             0.00208,             0.00208,             0.00208
